label_dod_occ_code,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings
"Communications and Intelligence
Specialists",Federal Government,0.2626467017401862,0.20211389128559104,0.1089313371192566,0.22636554621848737,0.24395653138168105,0.367338003502627,0.25796524257784215,0.27928757868877624,0.34797705314009664,0.3258181818181818,0.3536498936924167,0.380940892641737
Health Care Specialists,Construction,0.2434237150951032,0.20987920621225195,0.11280330407847186,0.36843487394957986,0.38412064759370146,0.4873029772329247,0.44840695148443155,0.4340549669890987,0.49577294685990336,0.5937454545454546,0.5525631939522797,0.5226779252110976
Health Care Specialists,Manufacturing,0.2626467017401862,0.2314495254529767,0.1773360867320599,0.23450630252100846,0.28831226436016855,0.3629597197898424,0.24764663287472843,0.284047290035314,0.37032004830917875,0.2634181818181818,0.31490668556579254,0.37949336550060314
Health Care Specialists,Wholesale Trade,0.10137596114933226,0.07937877480586714,0.04388229220443986,0.18855042016806722,0.2610334885783987,0.25350262697022774,0.24619840695148443,0.25533548288039304,0.22041062801932365,0.28625454545454543,0.255256319395228,0.1770808202653799
Health Care Specialists,Retail Trade,0.08660461351679483,0.08218291630716135,0.06504904491481672,0.3040966386554622,0.3477489465513417,0.4503064798598949,0.37997827661115124,0.42745278673422377,0.5843900966183575,0.5204363636363636,0.5470115757146232,0.6019300361881785
Health Care Specialists,Transportation and Warehousing,0.39761230271145287,0.43119068162208807,0.35415591120289114,0.38261554621848737,0.3098247948547349,0.36690017513134854,0.477009413468501,0.38139106402579454,0.37650966183574874,0.4869818181818182,0.3987715568154973,0.3427020506634499
Health Care Specialists,"Professional, Scientific, and Technical Services",0.15702144880615135,0.12877480586712683,0.0673722250903459,0.22872899159663862,0.16633399866932796,0.19877408056042034,0.28041274438812447,0.23598955934285276,0.2678140096618358,0.3268363636363636,0.25702811244979923,0.2547647768395657
Health Care Specialists,"Administrative and Support and Waste
Management and Remediation Services",0.03723188992310805,0.01466781708369284,0.007485802787816211,0.20824579831932777,0.23087159015302727,0.25809982486865146,0.21343229543808828,0.21173038538307992,0.24260265700483097,0.20770909090909095,0.23529411764705882,0.17117008443908316
Health Care Specialists,Educational Services,0.19303925536220154,0.14236410698878343,0.09525038719669593,0.6352415966386555,0.7467287646928366,0.9152802101576182,0.6520637219406227,0.7604790419161676,0.8718297101449276,0.7047272727272726,0.7800614221592252,0.8528347406513872
Health Care Specialists,Health Care and Social Assistance,0.032577903682719546,0.048533218291630716,0.049561177077955605,0.4860819327731093,0.6755378132623641,0.851138353765324,0.49909485879797244,0.6549976969138647,0.7952898550724637,0.5208727272727273,0.6573352232459249,0.7937273823884197
